Category,#,We Can Quit - Question,We Can Quit - Answer Type / Options,Observation,Tabuu (Competitor) - Question,Tabuu - Answer Type / Options,Streamlined Recommendation,Streamlined Answer Type / Options,Notes
,,,,,,,,
ONBOARDING,,,,,,,,,
,1,"Have you used the We Can Quit service before?","Radio: Yes, No",,(no equivalent),,Have you used our service before?,"Radio: Yes, No",Tabuu skips this - handled by login/account system
,,,,,,,,
PERSONAL INFO,,,,,,,,,
,2,"What's your name as registered with Medicare/Services Australia?","Name fields: Title, First, Middle, Last",4 SEPARATE FIELDS,(collected at Shopify account registration),,Full name (as on Medicare card),"Text: First Name, Last Name",Tabuu collects name at registration - not in the form. Drop Title and Middle
,3,"What's your date of birth?","Date: Day/Month/Year dropdowns",3 SEPARATE DROPDOWNS,"Date of Birth - Day / Month / Year","3 separate number fields (each its own page)",Date of birth,Single date picker,Both sites split DOB into 3 steps. Use a single date picker instead
,4,"What's your gender?","Radio: Male, Female, Other",,Gender Assigned at Birth,"Radio: Male, Female",Gender,"Radio: Male, Female, Other, Prefer not to say",Tabuu only has 2 options - add inclusive option
,5,"What's your email address?",Email,,(collected at Shopify account registration),,Email,Email,Tabuu collects at registration
,6,"What's your contact number?",Phone,,Please enter your Australian mobile phone number,"Phone with +61 country code prefix",Phone number,Phone with country code,Tabuu has better UX with country code prefix
,7,"Residential Address","Address: Street, City, State, ZIP",NOT IN COMPETITOR,(not collected),,"(remove from intake form)",,Tabuu doesn't collect address at intake. Defer to prescription/shipping stage
,,,,,,,,
IDENTITY VERIFICATION,,,,,,,,,
,8,"Do you have a Medicare card or IHI?","Radio: Yes, No",,"I confirm that I do not possess a Medicare Card","Checkbox (opt-out style)",Do you have a Medicare card?,"Radio: Yes, No",Tabuu's opt-out checkbox is cleaner UX
,9,"What is your 10 digit Medicare Number?","Text (conditional on Medicare=Yes)",,Medicare Card Number,Text,Medicare number + IRN,"2 inline fields (number + IRN)",Combine into one step
,10,"Medicare reference number (IRN)","Text (conditional on Medicare=Yes)",REDUNDANT - should be grouped with Medicare number,Medicare Individual Reference Number,Text,(merged into above),(merged into above),Both sites ask separately - should be one step
,11,"What is your Medicare Expiry?","Select: Month + Year (conditional on Medicare=Yes)",REDUNDANT - should be grouped,(not collected),,(remove or merge),,Tabuu doesn't collect expiry at all
,12,"What is your IHI number?","Text (conditional on Medicare=No)",,(not collected),,IHI number,Text (conditional),Tabuu doesn't have IHI fallback
,13,(no equivalent),,NOT IN CURRENT SITE,Please provide your Medicare card details,"Info page with annotated Medicare card image",(add helper image),,Tabuu has a helpful visual guide showing where to find card number/IRN/expiry
,14,(no equivalent),,NOT IN CURRENT SITE,Medicare Card (photo upload),File upload,(consider adding),File upload,Tabuu verifies via photo upload - reduces manual entry errors
,15,(no equivalent),,NOT IN CURRENT SITE,"Government issued ID upload (Drivers License, Passport, 18+ Card)",File upload,(consider adding),File upload,Tabuu requires age verification via ID photo - stronger compliance
,,,,,,,,
TERMS & AGE VERIFICATION,,,,,,,,,
,16,(no equivalent - age check is implicit),,MISSING FROM CURRENT SITE,Terms and Conditions,"Checkbox: I declare I understand and am 18+",Terms and Conditions + Age confirmation,"Checkbox: I confirm I am 18+ and accept terms",Tabuu gates the form with age/terms upfront - good practice
,,,,,,,,
SMOKING STATUS,,,,,,,,,
